antecedents,consequents,support,confidence,lift,leverage
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionUnchanged_PositionUnchanged_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'PositionUnchanged_PositionUnchanged_Low'})",0.5,1.0,2.0,0.25
"frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})","frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'HighFuelLoad_HighFuelLoad_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'HighFuelLoad_HighFuelLoad_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'HighFuelLoad_HighFuelLoad_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'HighFuelLoad_HighFuelLoad_Low'})",0.5,1.0,2.0,0.25
"frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})","frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'MediumFuelLoad_MediumFuelLoad_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'MediumFuelLoad_MediumFuelLoad_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'MediumFuelLoad_MediumFuelLoad_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
